relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Human African trypanosomiasis in the Democratic Republic of the Congo disease distribution and risk.pdf	Human African trypanosomiasis in the Democratic Republic of the Congo disease distribution and risk.pdf	Epidemiology	pdf	1227637	2024-01-22	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Progress status of mapping for HAT cases and geographic locations in DRC (period 2000 – 2012), and geographical accuracy of mapped villages.docx	Progress status of mapping for HAT cases and geographic locations in DRC (period 2000 – 2012), and geographical accuracy of mapped villages.docx	Epidemiology	docx	19649	2024-01-22	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the DRC and its Provinces (2003-2007 and 2008-2012).docx	The distribution of HAT in the DRC and its Provinces (2003-2007 and 2008-2012).docx	Epidemiology	docx	28387811	2024-04-08	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the Provinces of DRC (2000-2012).docx	The distribution of HAT in the Provinces of DRC (2000-2012).docx	Epidemiology	docx	13217660	2024-01-22	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in DRC (2003-2007 and 2008-2012).docx	The risk of HAT in DRC (2003-2007 and 2008-2012).docx	Epidemiology	docx	28673	2024-01-22	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in the provinces of DRC (2003-2007 and 2008-2012).docx	The risk of HAT in the provinces of DRC (2003-2007 and 2008-2012).docx	Epidemiology	docx	14357230	2024-01-22	Paper	gHAT / HAT									to_triage
Epidemiology/Prevalence of Human African Trypanosomiasis in the Democratic Republic of the Congo.pdf	Prevalence of Human African Trypanosomiasis in the Democratic Republic of the Congo.pdf	Epidemiology	pdf	320503	2024-01-05	Paper	gHAT / HAT									to_triage
Epidemiology/Representation spatiale des deplacements des malades dans un foyer de trypanosomose humaine africaine de Cote d'Ivoire..pdf	Representation spatiale des deplacements des malades dans un foyer de trypanosomose humaine africaine de Cote d'Ivoire..pdf	Epidemiology	pdf	559409	2024-04-08	Paper	gHAT / HAT									to_triage
Epidemiology/Review of the Situation of Human African Trypanosomiasis in the Republic of Congo From the 1950s to 2020.pdf	Review of the Situation of Human African Trypanosomiasis in the Republic of Congo From the 1950s to 2020.pdf	Epidemiology	pdf	10491755	2024-01-30	Paper	gHAT / HAT									to_triage
Epidemiology/Towards understanding the presenceabsence of Human African Trypanosomosis in a focus of Côte d'Ivoire a spatial analysis of the pathogenic system.pdf	Towards understanding the presenceabsence of Human African Trypanosomosis in a focus of Côte d'Ivoire a spatial analysis of the pathogenic system.pdf	Epidemiology	pdf	4239190	2024-04-08	Paper	gHAT / HAT									to_triage
Health Economics/Cost-effectiveness of sleeping sickness elimination campaigns in five settings of the Democratic Republic of Congo.pdf	Cost-effectiveness of sleeping sickness elimination campaigns in five settings of the Democratic Republic of Congo.pdf	Health Economics	pdf	1176419	2023-12-15	Paper	gHAT / HAT									to_triage
