relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the DRC and its Provinces (2003-2007 and 2008-2012).docx	The distribution of HAT in the DRC and its Provinces (2003-2007 and 2008-2012).docx	Epidemiology	docx	28387811	2024-04-08	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the Provinces of DRC (2000-2012).docx	The distribution of HAT in the Provinces of DRC (2000-2012).docx	Epidemiology	docx	13217660	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in DRC (2003-2007 and 2008-2012).docx	The risk of HAT in DRC (2003-2007 and 2008-2012).docx	Epidemiology	docx	28673	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in the provinces of DRC (2003-2007 and 2008-2012).docx	The risk of HAT in the provinces of DRC (2003-2007 and 2008-2012).docx	Epidemiology	docx	14357230	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Integration/Human African Trypanosomiasis Diagnosis in First-Line Health Services of Endemic Countries, a Systematic Review.pdf	Human African Trypanosomiasis Diagnosis in First-Line Health Services of Endemic Countries, a Systematic Review.pdf	Integration	pdf	311118	2024-01-05	Paper	gHAT / HAT	Africa	implementation research	Passive / integrated			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Integration/Tropical Med Int Health - 2014 - Mitashi - Integration of diagnosis and treatment of sleeping sickness in primary.pdf	Tropical Med Int Health - 2014 - Mitashi - Integration of diagnosis and treatment of sleeping sickness in primary.pdf	Integration	pdf	175422	2024-01-05	Paper	gHAT / HAT		implementation research	Passive / integrated			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Methodology/An exploratory GIS-based method to identify and characterize landscape with elevated epi risk.pdf	An exploratory GIS-based method to identify and characterize landscape with elevated epi risk.pdf	Methodology	pdf	2324828	2023-12-04	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Methodology/Bayesian disease mapping - Past, present, and future.pdf	Bayesian disease mapping - Past, present, and future.pdf	Methodology	pdf	769479	2024-01-10	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Methodology/Disease mapping and innovation -  A history from wood-block prints to Web 3.0.pdf	Disease mapping and innovation -  A history from wood-block prints to Web 3.0.pdf	Methodology	pdf	7479845	2023-12-18	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Methodology/Identification of Chinese plague foci from long-term epi data.pdf	Identification of Chinese plague foci from long-term epi data.pdf	Methodology	pdf	830539	2024-01-09	Paper	gHAT / HAT		methods reference				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
