relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Diagnostics/Sensitivity and specificity of HAT Sero-K-SeT, a rapid diagnostic test for serodiagnosis of sleeping sickness caused by Trypanosoma brucei gambiense - a case-control study.pdf	Sensitivity and specificity of HAT Sero-K-SeT, a rapid diagnostic test for serodiagnosis of sleeping sickness caused by Trypanosoma brucei gambiense - a case-control study.pdf	Diagnostics	pdf	230106	2024-03-25	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		HAT Sero-K-SeT	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/serological_tests_overview__STA_PB.docx	serological_tests_overview__STA_PB.docx	Diagnostics	docx	625530	2024-04-02	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Simple centrifugationLCR_sealedPasteurPipette.pdf	Simple centrifugationLCR_sealedPasteurPipette.pdf	Diagnostics	pdf	256930	2022-12-14	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/SOP CATT T evansi.pdf	SOP CATT T evansi.pdf	Diagnostics	pdf	293614	2024-04-04	Paper	gHAT / HAT			Screening / diagnosis		CATT	PhD / sleeping-sickness			to_triage
Diagnostics/TARGET PRODUCT PROFILE.pdf	TARGET PRODUCT PROFILE.pdf	Diagnostics	pdf	371933	2024-03-27	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Thesis_Sara_Tablado_seropositivity.pdf	Thesis_Sara_Tablado_seropositivity.pdf	Diagnostics	pdf	1340447	2022-12-13	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Tropical Med Int Health - 2024 - Tablado Alonso - Retrospective clinical performance evaluation of the Abbott Bioline HAT 2.pdf	Tropical Med Int Health - 2024 - Tablado Alonso - Retrospective clinical performance evaluation of the Abbott Bioline HAT 2.pdf	Diagnostics	pdf	717304	2025-03-06	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		RDT	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Trypanosoma brucei gambiense-iELISA A Promising New Test for the Post-Elimination Monitoring of Human African Trypanosomiasis.pdf	Trypanosoma brucei gambiense-iELISA A Promising New Test for the Post-Elimination Monitoring of Human African Trypanosomiasis.pdf	Diagnostics	pdf	396378	2025-02-26	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis	Post-elimination	iELISA	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Trypanosome SL-RNA detection in blood and cerebrospinal fluid to demonstrate active gambiense human African trypanosomiasis infection.pdf	Trypanosome SL-RNA detection in blood and cerebrospinal fluid to demonstrate active gambiense human African trypanosomiasis infection.pdf	Diagnostics	pdf	1143820	2025-02-26	Paper	gHAT / HAT	Africa		Screening / diagnosis		Molecular	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Two-year follow-up of gHAT serology after succesful treatment of HAT - results of four different sero-diagnostic tests.pdf	Two-year follow-up of gHAT serology after succesful treatment of HAT - results of four different sero-diagnostic tests.pdf	Diagnostics	pdf	1172115	2024-03-25	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness		High relevance to diagnostic performance article	to_triage
Diagnostics/Two-Year Follow-Up of Trypanosoma brucei gambiense Serology after Successful Treatment of Human African Trypanosomiasis Results of Four Different Sero-Diagnostic Tests.pdf	Two-Year Follow-Up of Trypanosoma brucei gambiense Serology after Successful Treatment of Human African Trypanosomiasis Results of Four Different Sero-Diagnostic Tests.pdf	Diagnostics	pdf	1172115	2024-04-01	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness		High relevance to diagnostic performance article	to_triage
Diagnostics/Understanding the Role of the Diagnostic 'Reflex' in the Elimination of Human African Trypanosomiasis.pdf	Understanding the Role of the Diagnostic 'Reflex' in the Elimination of Human African Trypanosomiasis.pdf	Diagnostics	pdf	512430	2024-01-15	Paper	gHAT / HAT	Africa		Screening / diagnosis	Elimination		PhD / sleeping-sickness			to_triage
Diagnostics/Validite_cout_et_faisabilite_de_la_mAECT.pdf	Validite_cout_et_faisabilite_de_la_mAECT.pdf	Diagnostics	pdf	115582	2024-06-27	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		mAECT	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/VariantSpecificTrypanolysis.pdf	VariantSpecificTrypanolysis.pdf	Diagnostics	pdf	608444	2022-12-21	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		Trypanolysis	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
